title,genre,actors_list
The Dark Knight,Action,"[u'Christian Bale', u'Heath Ledger', u'Aaron Eckhart']"
Inception,Action,"[u'Leonardo DiCaprio', u'Joseph Gordon-Levitt', u'Ellen Page']"
Star Wars: Episode V - The Empire Strikes Back,Action,"[u'Mark Hamill', u'Harrison Ford', u'Carrie Fisher']"
Star Wars,Action,"[u'Mark Hamill', u'Harrison Ford', u'Carrie Fisher']"
The Matrix,Action,"[u'Keanu Reeves', u'Laurence Fishburne', u'Carrie-Anne Moss']"
Saving Private Ryan,Action,"[u'Tom Hanks', u'Matt Damon', u'Tom Sizemore']"
Raiders of the Lost Ark,Action,"[u'Harrison Ford', u'Karen Allen', u'Paul Freeman']"
The Dark Knight Rises,Action,"[u'Christian Bale', u'Tom Hardy', u'Anne Hathaway']"
Gladiator,Action,"[u'Russell Crowe', u'Joaquin Phoenix', u'Connie Nielsen']"
Terminator 2: Judgment Day,Action,"[u'Arnold Schwarzenegger', u'Linda Hamilton', u'Edward Furlong']"
Aliens,Action,"[u'Sigourney Weaver', u'Michael Biehn', u'Carrie Henn']"
Star Wars: Episode VI - Return of the Jedi,Action,"[u'Mark Hamill', u'Harrison Ford', u'Carrie Fisher']"
Braveheart,Action,"[u'Mel Gibson', u'Sophie Marceau', u'Patrick McGoohan']"
Yojimbo,Action,"[u'Toshir\xf4 Mifune', u'Eijir\xf4 T\xf4no', u'Tatsuya Nakadai']"
The Treasure of the Sierra Madre,Action,"[u'Humphrey Bogart', u'Walter Huston', u'Tim Holt']"
Batman Begins,Action,"[u'Christian Bale', u'Michael Caine', u'Ken Watanabe']"
Indiana Jones and the Last Crusade,Action,"[u'Harrison Ford', u'Sean Connery', u'Alison Doody']"
The General,Action,"[u'Buster Keaton', u'Marion Mack', u'Glen Cavender']"
Ran,Action,"[u'Tatsuya Nakadai', u'Akira Terao', u'Jinpachi Nezu']"
Heat,Action,"[u'Al Pacino', u'Robert De Niro', u'Val Kilmer']"
Die Hard,Action,"[u'Bruce Willis', u'Alan Rickman', u'Bonnie Bedelia']"
V for Vendetta,Action,"[u'Hugo Weaving', u'Natalie Portman', u'Rupert Graves']"
Rush,Action,"[u'Daniel Br\xfchl', u'Chris Hemsworth', u'Olivia Wilde']"
Tae Guk Gi: The Brotherhood of War,Action,"[u'Dong-gun Jang', u'Bin Won', u'Eun-ju Lee']"
The Avengers,Action,"[u'Robert Downey Jr.', u'Chris Evans', u'Scarlett Johansson']"
Kingsman: The Secret Service,Action,"[u'Colin Firth', u'Taron Egerton', u'Samuel L. Jackson']"
Guardians of the Galaxy,Action,"[u'Chris Pratt', u'Vin Diesel', u'Bradley Cooper']"
Kill Bill: Vol. 1,Action,"[u'Uma Thurman', u'David Carradine', u'Daryl Hannah']"
Yip Man,Action,"[u'Donnie Yen', u'Simon Yam', u'Siu-Wong Fan']"
Elite Squad: The Enemy Within,Action,"[u'Wagner Moura', u'Irandhir Santos', u'Andr\xe9 Ramiro']"
The Bourne Ultimatum,Action,"[u'Matt Damon', u'\xc9dgar Ram\xedrez', u'Joan Allen']"
X-Men: Days of Future Past,Action,"[u'Patrick Stewart', u'Ian McKellen', u'Hugh Jackman']"
Elite Squad,Action,"[u'Wagner Moura', u'Andr\xe9 Ramiro', u'Caio Junqueira']"
The Raid 2,Action,"[u'Iko Uwais', u'Yayan Ruhian', u'Arifin Putra']"
A Fistful of Dollars,Action,"[u'Clint Eastwood', u'Gian Maria Volont\xe9', u'Marianne Koch']"
The Terminator,Action,"[u'Arnold Schwarzenegger', u'Linda Hamilton', u'Michael Biehn']"
The Wild Bunch,Action,"[u'William Holden', u'Ernest Borgnine', u'Robert Ryan']"
Furious 7,Action,"[u'Vin Diesel', u'Paul Walker', u'Dwayne Johnson']"
Star Trek,Action,"[u'Chris Pine', u'Zachary Quinto', u'Simon Pegg']"
The Adventures of Robin Hood,Action,"[u'Errol Flynn', u'Olivia de Havilland', u'Basil Rathbone']"
District 9,Action,"[u'Sharlto Copley', u'David James', u'Jason Cope']"
Kill Bill: Vol. 2,Action,"[u'Uma Thurman', u'David Carradine', u'Michael Madsen']"
Serenity,Action,"[u'Nathan Fillion', u'Gina Torres', u'Chiwetel Ejiofor']"
Casino Royale,Action,"[u'Daniel Craig', u'Eva Green', u'Judi Dench']"
Spartacus,Action,"[u'Kirk Douglas', u'Laurence Olivier', u'Jean Simmons']"
The Blues Brothers,Action,"[u'John Belushi', u'Dan Aykroyd', u'Cab Calloway']"
Edge of Tomorrow,Action,"[u'Tom Cruise', u'Emily Blunt', u'Bill Paxton']"
The Killer,Action,"[u'Yun-Fat Chow', u'Danny Lee', u'Sally Yeh']"
Ying xiong,Action,"[u'Jet Li', u'Tony Chiu Wai Leung', u'Maggie Cheung']"
Hard Boiled,Action,"[u'Yun-Fat Chow', u'Tony Chiu Wai Leung', u'Teresa Mo']"
The Bourne Identity,Action,"[u'Franka Potente', u'Matt Damon', u'Chris Cooper']"
The Man Who Would Be King,Action,"[u'Sean Connery', u'Michael Caine', u'Christopher Plummer']"
Avatar,Action,"[u'Sam Worthington', u'Zoe Saldana', u'Sigourney Weaver']"
Iron Man,Action,"[u'Robert Downey Jr.', u'Gwyneth Paltrow', u'Terrence Howard']"
"Crouching Tiger, Hidden Dragon",Action,"[u'Yun-Fat Chow', u'Michelle Yeoh', u'Ziyi Zhang']"
The Boondock Saints,Action,"[u'Willem Dafoe', u'Sean Patrick Flanery', u'Norman Reedus']"
The Man from Nowhere,Action,"[u'Bin Won', u'Sae-ron Kim', u'Tae-hoon Kim']"
Taken,Action,"[u'Liam Neeson', u'Maggie Grace', u'Famke Janssen']"
Tombstone,Action,"[u'Kurt Russell', u'Val Kilmer', u'Sam Elliott']"
Predator,Action,"[u'Arnold Schwarzenegger', u'Carl Weathers', u'Kevin Peter Hall']"
Star Trek Into Darkness,Action,"[u'Chris Pine', u'Zachary Quinto', u'Zoe Saldana']"
The Magnificent Seven,Action,"[u'Yul Brynner', u'Steve McQueen', u'Charles Bronson']"
The French Connection,Action,"[u'Gene Hackman', u'Roy Scheider', u'Fernando Rey']"
The Last of the Mohicans,Action,"[u'Daniel Day-Lewis', u'Madeleine Stowe', u'Russell Means']"
Dirty Harry,Action,"[u'Clint Eastwood', u'Andrew Robinson', u'Harry Guardino']"
Captain America: The Winter Soldier,Action,"[u'Chris Evans', u'Samuel L. Jackson', u'Scarlett Johansson']"
Apocalypto,Action,"[u'Gerardo Taracena', u'Raoul Trujillo', u'Dalia Hern\xe1ndez']"
The Dirty Dozen,Action,"[u'Lee Marvin', u'Ernest Borgnine', u'Charles Bronson']"
X-Men: First Class,Action,"[u'James McAvoy', u'Michael Fassbender', u'Jennifer Lawrence']"
Run Lola Run,Action,"[u'Franka Potente', u'Moritz Bleibtreu', u'Herbert Knaup']"
The Longest Day,Action,"[u'John Wayne', u'Robert Ryan', u'Richard Burton']"
The Fugitive,Action,"[u'Harrison Ford', u'Tommy Lee Jones', u'Sela Ward']"
Kung Fu Hustle,Action,"[u'Stephen Chow', u'Wah Yuen', u'Qiu Yuen']"
Goldfinger,Action,"[u'Sean Connery', u'Gert Fr\xf6be', u'Honor Blackman']"
The Bourne Supremacy,Action,"[u'Matt Damon', u'Franka Potente', u'Joan Allen']"
